==========
Args:Namespace(eval_step=-1, evaluate=False, gpu_devices='0', print_freq=10, resume='', save_dir='log', seed=1, start_epoch=0, start_eval=0, use_cpu=False)
==========
['/root/dataset/Market/bounding_box_train', '/root/dataset/Market/bounding_box_test', '/root/dataset/Market/query'],no problem
['/root/dataset/Market/bounding_box_train', '/root/dataset/Market/bounding_box_test', '/root/dataset/Market/query'],no problem
['/root/dataset/Market/bounding_box_train', '/root/dataset/Market/bounding_box_test', '/root/dataset/Market/query'],no problem
Initializing model: ResNet50
Model size: 25.04683M
==> Start training
Epoch: [1][53/404]	Time 0.118 (0.276)	Data 0.001 (0.007)	Loss 6.6262 (6.8456)	
Epoch: [1][54/404]	Time 0.119 (0.273)	Data 0.001 (0.007)	Loss 6.6315 (6.8416)	
Epoch: [1][55/404]	Time 0.118 (0.271)	Data 0.001 (0.007)	Loss 6.7007 (6.8391)	
Epoch: [1][56/404]	Time 0.122 (0.268)	Data 0.002 (0.007)	Loss 6.5684 (6.8342)	
Epoch: [1][57/404]	Time 0.152 (0.266)	Data 0.001 (0.007)	Loss 6.4924 (6.8282)	
Epoch: [1][58/404]	Time 0.122 (0.263)	Data 0.001 (0.007)	Loss 6.5729 (6.8238)	
Epoch: [1][59/404]	Time 0.118 (0.261)	Data 0.001 (0.007)	Loss 6.6496 (6.8209)	
Epoch: [1][60/404]	Time 0.116 (0.259)	Data 0.001 (0.006)	Loss 6.6212 (6.8175)	
Epoch: [1][61/404]	Time 0.120 (0.256)	Data 0.001 (0.006)	Loss 6.7261 (6.8160)	
Epoch: [1][62/404]	Time 0.119 (0.254)	Data 0.001 (0.006)	Loss 6.7389 (6.8148)	
Epoch: [1][63/404]	Time 0.117 (0.252)	Data 0.001 (0.006)	Loss 6.5770 (6.8110)	
Epoch: [1][64/404]	Time 0.120 (0.250)	Data 0.001 (0.006)	Loss 6.6873 (6.8091)	
Epoch: [1][65/404]	Time 0.119 (0.248)	Data 0.002 (0.006)	Loss 6.4555 (6.8037)	
Epoch: [1][66/404]	Time 0.122 (0.246)	Data 0.002 (0.006)	Loss 6.6368 (6.8011)	
Epoch: [1][67/404]	Time 0.123 (0.244)	Data 0.001 (0.006)	Loss 6.4867 (6.7964)	
Epoch: [1][68/404]	Time 0.121 (0.242)	Data 0.001 (0.006)	Loss 6.6480 (6.7942)	
Epoch: [1][69/404]	Time 0.150 (0.241)	Data 0.001 (0.006)	Loss 6.4867 (6.7898)	
Epoch: [1][70/404]	Time 0.120 (0.239)	Data 0.001 (0.006)	Loss 6.7609 (6.7894)	
Epoch: [1][71/404]	Time 0.118 (0.237)	Data 0.001 (0.006)	Loss 6.5384 (6.7858)	
Epoch: [1][72/404]	Time 0.118 (0.236)	Data 0.001 (0.006)	Loss 6.8542 (6.7868)	
Epoch: [1][73/404]	Time 0.122 (0.234)	Data 0.001 (0.006)	Loss 6.8173 (6.7872)	
Epoch: [1][74/404]	Time 0.121 (0.233)	Data 0.001 (0.006)	Loss 6.5991 (6.7847)	
Epoch: [1][75/404]	Time 0.121 (0.231)	Data 0.001 (0.005)	Loss 6.5084 (6.7810)	
Epoch: [1][76/404]	Time 0.122 (0.230)	Data 0.001 (0.005)	Loss 6.3480 (6.7753)	
Epoch: [1][77/404]	Time 0.120 (0.228)	Data 0.001 (0.005)	Loss 6.6107 (6.7732)	
Epoch: [1][78/404]	Time 0.120 (0.227)	Data 0.001 (0.005)	Loss 6.6246 (6.7712)	
Epoch: [1][79/404]	Time 0.121 (0.226)	Data 0.001 (0.005)	Loss 6.5874 (6.7689)	
Epoch: [1][80/404]	Time 0.123 (0.224)	Data 0.001 (0.005)	Loss 6.5631 (6.7663)	
Epoch: [1][81/404]	Time 0.149 (0.223)	Data 0.001 (0.005)	Loss 6.5489 (6.7637)	
Epoch: [1][82/404]	Time 0.123 (0.222)	Data 0.001 (0.005)	Loss 6.5676 (6.7613)	
Epoch: [1][83/404]	Time 0.121 (0.221)	Data 0.001 (0.005)	Loss 6.5975 (6.7593)	
Epoch: [1][84/404]	Time 0.121 (0.220)	Data 0.001 (0.005)	Loss 6.5571 (6.7569)	
Epoch: [1][85/404]	Time 0.121 (0.219)	Data 0.001 (0.005)	Loss 6.5508 (6.7545)	
Epoch: [1][86/404]	Time 0.122 (0.218)	Data 0.001 (0.005)	Loss 6.6294 (6.7530)	
Epoch: [1][87/404]	Time 0.122 (0.216)	Data 0.002 (0.005)	Loss 6.5670 (6.7509)	
Epoch: [1][88/404]	Time 0.121 (0.215)	Data 0.001 (0.005)	Loss 6.4790 (6.7478)	
Epoch: [1][89/404]	Time 0.121 (0.214)	Data 0.001 (0.005)	Loss 6.7229 (6.7475)	
Epoch: [1][90/404]	Time 0.121 (0.213)	Data 0.001 (0.005)	Loss 6.6990 (6.7470)	
Epoch: [1][91/404]	Time 0.123 (0.212)	Data 0.001 (0.005)	Loss 6.5649 (6.7450)	
Epoch: [1][92/404]	Time 0.122 (0.211)	Data 0.001 (0.005)	Loss 6.6175 (6.7436)	
Epoch: [1][93/404]	Time 0.151 (0.211)	Data 0.001 (0.005)	Loss 6.6025 (6.7421)	
Epoch: [1][94/404]	Time 0.121 (0.210)	Data 0.001 (0.005)	Loss 6.5199 (6.7397)	
Epoch: [1][95/404]	Time 0.119 (0.209)	Data 0.001 (0.005)	Loss 6.4269 (6.7364)	
Epoch: [1][96/404]	Time 0.112 (0.208)	Data 0.001 (0.005)	Loss 6.6416 (6.7354)	
Epoch: [1][97/404]	Time 0.114 (0.207)	Data 0.001 (0.005)	Loss 6.5450 (6.7335)	
Epoch: [1][98/404]	Time 0.120 (0.206)	Data 0.001 (0.005)	Loss 6.3757 (6.7298)	
Epoch: [1][99/404]	Time 0.121 (0.205)	Data 0.001 (0.004)	Loss 6.4397 (6.7269)	
Epoch: [1][100/404]	Time 0.122 (0.204)	Data 0.001 (0.004)	Loss 6.4809 (6.7244)	
Epoch: [1][101/404]	Time 0.120 (0.203)	Data 0.001 (0.004)	Loss 6.6733 (6.7239)	
Epoch: [1][102/404]	Time 0.122 (0.203)	Data 0.001 (0.004)	Loss 6.5022 (6.7217)	
Epoch: [1][103/404]	Time 0.125 (0.202)	Data 0.001 (0.004)	Loss 6.5199 (6.7198)	
Epoch: [1][104/404]	Time 0.119 (0.201)	Data 0.001 (0.004)	Loss 6.7478 (6.7200)	
Epoch: [1][105/404]	Time 0.150 (0.201)	Data 0.002 (0.004)	Loss 6.5906 (6.7188)	
Epoch: [1][106/404]	Time 0.122 (0.200)	Data 0.001 (0.004)	Loss 6.6290 (6.7180)	
Epoch: [1][107/404]	Time 0.121 (0.199)	Data 0.001 (0.004)	Loss 6.5807 (6.7167)	
Epoch: [1][108/404]	Time 0.121 (0.198)	Data 0.001 (0.004)	Loss 6.5730 (6.7154)	
Epoch: [1][109/404]	Time 0.116 (0.198)	Data 0.001 (0.004)	Loss 6.5302 (6.7137)	
Epoch: [1][110/404]	Time 0.111 (0.197)	Data 0.001 (0.004)	Loss 6.7176 (6.7137)	
Epoch: [1][111/404]	Time 0.118 (0.196)	Data 0.001 (0.004)	Loss 6.4505 (6.7113)	
Epoch: [1][112/404]	Time 0.115 (0.195)	Data 0.001 (0.004)	Loss 6.4307 (6.7088)	
Epoch: [1][113/404]	Time 0.117 (0.195)	Data 0.001 (0.004)	Loss 6.5501 (6.7074)	
Epoch: [1][114/404]	Time 0.120 (0.194)	Data 0.002 (0.004)	Loss 6.5902 (6.7064)	
Epoch: [1][115/404]	Time 0.124 (0.193)	Data 0.001 (0.004)	Loss 6.4890 (6.7045)	
Epoch: [1][116/404]	Time 0.121 (0.193)	Data 0.001 (0.004)	Loss 6.6783 (6.7043)	
Epoch: [1][117/404]	Time 0.150 (0.192)	Data 0.001 (0.004)	Loss 6.4152 (6.7018)	
Epoch: [1][118/404]	Time 0.124 (0.192)	Data 0.001 (0.004)	Loss 6.6045 (6.7010)	
Epoch: [1][119/404]	Time 0.117 (0.191)	Data 0.001 (0.004)	Loss 6.5620 (6.6998)	
Epoch: [1][120/404]	Time 0.113 (0.191)	Data 0.001 (0.004)	Loss 6.6222 (6.6992)	
Epoch: [1][121/404]	Time 0.111 (0.190)	Data 0.001 (0.004)	Loss 6.5391 (6.6978)	
Epoch: [1][122/404]	Time 0.119 (0.189)	Data 0.002 (0.004)	Loss 6.2513 (6.6942)	
Epoch: [1][123/404]	Time 0.117 (0.189)	Data 0.001 (0.004)	Loss 6.4850 (6.6925)	
Epoch: [1][124/404]	Time 0.122 (0.188)	Data 0.001 (0.004)	Loss 6.5424 (6.6913)	
Epoch: [1][125/404]	Time 0.117 (0.188)	Data 0.001 (0.004)	Loss 6.5879 (6.6904)	
Epoch: [1][126/404]	Time 0.115 (0.187)	Data 0.001 (0.004)	Loss 6.6282 (6.6899)	
Epoch: [1][127/404]	Time 0.120 (0.186)	Data 0.001 (0.004)	Loss 6.6779 (6.6898)	
Epoch: [1][128/404]	Time 0.122 (0.186)	Data 0.001 (0.004)	Loss 6.3013 (6.6868)	
Epoch: [1][129/404]	Time 0.150 (0.186)	Data 0.001 (0.004)	Loss 6.4636 (6.6851)	
Epoch: [1][130/404]	Time 0.115 (0.185)	Data 0.001 (0.004)	Loss 6.5593 (6.6841)	
Epoch: [1][131/404]	Time 0.116 (0.185)	Data 0.001 (0.004)	Loss 6.3743 (6.6817)	
Epoch: [1][132/404]	Time 0.116 (0.184)	Data 0.001 (0.004)	Loss 6.4274 (6.6798)	
Epoch: [1][133/404]	Time 0.122 (0.184)	Data 0.001 (0.004)	Loss 6.5755 (6.6790)	
Epoch: [1][134/404]	Time 0.117 (0.183)	Data 0.001 (0.004)	Loss 6.5313 (6.6779)	
Epoch: [1][135/404]	Time 0.118 (0.183)	Data 0.001 (0.004)	Loss 6.3674 (6.6756)	
Epoch: [1][136/404]	Time 0.120 (0.182)	Data 0.001 (0.004)	Loss 6.4992 (6.6743)	
Epoch: [1][137/404]	Time 0.123 (0.182)	Data 0.001 (0.004)	Loss 6.6906 (6.6745)	
Epoch: [1][138/404]	Time 0.120 (0.181)	Data 0.001 (0.004)	Loss 6.3900 (6.6724)	
Epoch: [1][139/404]	Time 0.121 (0.181)	Data 0.001 (0.004)	Loss 6.3599 (6.6701)	
